scenario_id,origin_name,origin_stop_id,destination_name,destination_poi_id,modes_used,line_ids,departure_stop_id,transfer_stop_id,debut_transfer_id,arrival_stop_id,correspondences,estimated_time_min,estimated_cost_mad,walking_distance_m,instructions,status
SC01,Ain Diab Plage - Terminus,T2_01,Mosquée Hassan II,POI_002,"tramway,marche","T2,T1",T2_01,T2_14,T1_27,T1_22,1,45,6,1500,"1. Prendre le T2 à Aïn Diab. 2. Descendre à Anoual. 3. Prendre le T1 à Abdelmoumen. 4. Descendre à Place des Nations Unies. 5. Marchez 1.5 km vers la Mosquée Hassan II.",validated
SC02,Ain Diab Plage - Terminus,T2_01,Quartier Habous,POI_038,"tramway,busway,marche","T2,T3",T2_01,T2_19,T3_07,T3_05,1,40,6,350,"1. Prendre le T2 à Aïn Diab. 2. Descendre à Derb Sultan. 3. Prendre le T3 à Derb Tolba. 4. Descendre à Habous.",validated
SC03,Sidi Maârouf,BW1_18,Lissasfa Terminus,POI_LISS,"busway,tramway","BW1,T1",BW1_18,BW1_19,T1_35,T1_36,1,15,6,100,"1. Rejoindre la station de Busway Sidi Maârouf (BW1). 2. Prendre la ligne BW1 en direction du sud. 3. Descendre au terminus Omar El Khayam pour le changement de ligne. 4. Rejoindre la station Laymoune (T1). 5. Prendre le tramway T1 en direction du sud. 6. Descendre à la station Lissasfa - Terminus.",validated
SC04,Parc de la Ligue Arabe,T4_18,Quartier Habous,POI_038,"busway,marche","T4,T3",T4_18,T4_16,T3_03,T3_05,1,12,6,350,"1. Depuis le Parc de la Ligue Arabe, rejoindre la station de Busway T4 (Parc de la Ligue Arabe - Terminus) et prendre la ligne T4. 2. Descendre à la station Jaber Ibn Hayane. 3. Marcher 100m vers la station Place de la Victoire. 4. Prendre le T3 depuis la station Place de la Victoire. 5. Descendre à la station Habous. 6. Marcher 250m pour rejoindre le centre culturel et traditionnel.",validated
